Date,Year,Fuel_Type,Price,Target_Category,Vehicle_Examples,Oil_Price,USD_Rate,Oil_3M_Avg,USD_3M_Avg
2014-07-05,2014,Diesel (Solar),1.8,Transport & Heavy,Microbus/Trucks/Buses,111.0,7.133999824523926,109.34866672092014,7.020617792341445
2014-07-05,2014,Octane 80,1.6,Old & Private,Lada/Fiat 128,111.0,7.133999824523926,109.34866672092014,7.020617792341445
2014-07-05,2014,Octane 95,6.25,Luxury & Turbo,Mercedes/BMW/Kia Turbo,111.0,7.133999824523926,109.34866672092014,7.020617792341445
2014-07-05,2014,Octane 92,2.6,Modern Economy,Nissan/Toyota/Hyundai,111.0,7.133999824523926,109.34866672092014,7.020617792341445
2016-11-04,2016,Diesel (Solar),2.35,Transport & Heavy,Microbus/Trucks/Buses,45.58000183105469,15.243000030517578,47.960777621799046,8.935062143537733
2016-11-04,2016,Octane 95,6.25,Luxury & Turbo,Mercedes/BMW/Kia Turbo,45.58000183105469,15.243000030517578,47.960777621799046,8.935062143537733
2016-11-04,2016,Octane 92,3.5,Modern Economy,Nissan/Toyota/Hyundai,45.58000183105469,15.243000030517578,47.960777621799046,8.935062143537733
2016-11-04,2016,Octane 80,2.35,Old & Private,Lada/Fiat 128,45.58000183105469,15.243000030517578,47.960777621799046,8.935062143537733
2017-06-29,2017,Diesel (Solar),3.65,Transport & Heavy,Microbus/Trucks/Buses,47.41999816894531,18.097999572753906,51.530777825249565,17.813293351067436
2017-06-29,2017,Octane 95,6.6,Luxury & Turbo,Mercedes/BMW/Kia Turbo,47.41999816894531,18.097999572753906,51.530777825249565,17.813293351067436
2017-06-29,2017,Octane 92,5.0,Modern Economy,Nissan/Toyota/Hyundai,47.41999816894531,18.097999572753906,51.530777825249565,17.813293351067436
2017-06-29,2017,Octane 80,3.65,Old & Private,Lada/Fiat 128,47.41999816894531,18.097999572753906,51.530777825249565,17.813293351067436
2018-06-16,2018,Octane 80,5.5,Old & Private,Lada/Fiat 128,73.44000244140625,17.81599998474121,71.3331110212538,17.689266713460288
2018-06-16,2018,Diesel (Solar),5.5,Transport & Heavy,Microbus/Trucks/Buses,73.44000244140625,17.81599998474121,71.3331110212538,17.689266713460288
2018-06-16,2018,Octane 95,7.75,Luxury & Turbo,Mercedes/BMW/Kia Turbo,73.44000244140625,17.81599998474121,71.3331110212538,17.689266713460288
2018-06-16,2018,Octane 92,6.75,Modern Economy,Nissan/Toyota/Hyundai,73.44000244140625,17.81599998474121,71.3331110212538,17.689266713460288
2019-07-05,2019,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,64.2300033569336,16.599000930786133,67.79500037299262,17.07865676879883
2019-07-05,2019,Octane 95,9.0,Luxury & Turbo,Mercedes/BMW/Kia Turbo,64.2300033569336,16.599000930786133,67.79500037299262,17.07865676879883
2019-07-05,2019,Octane 92,8.0,Modern Economy,Nissan/Toyota/Hyundai,64.2300033569336,16.599000930786133,67.79500037299262,17.07865676879883
2019-07-05,2019,Octane 80,6.75,Old & Private,Lada/Fiat 128,64.2300033569336,16.599000930786133,67.79500037299262,17.07865676879883
2019-10-04,2019,Octane 80,6.5,Old & Private,Lada/Fiat 128,58.369998931884766,16.27790069580078,62.18700002034505,16.547218958536785
2019-10-04,2019,Octane 92,7.75,Modern Economy,Nissan/Toyota/Hyundai,58.369998931884766,16.27790069580078,62.18700002034505,16.547218958536785
2019-10-04,2019,Octane 95,8.75,Luxury & Turbo,Mercedes/BMW/Kia Turbo,58.369998931884766,16.27790069580078,62.18700002034505,16.547218958536785
2019-10-04,2019,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,58.369998931884766,16.27790069580078,62.18700002034505,16.547218958536785
2020-04-11,2020,Octane 80,6.25,Old & Private,Lada/Fiat 128,31.479999542236328,15.725847244262695,52.402222124735516,15.807346630096436
2020-04-11,2020,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,31.479999542236328,15.725847244262695,52.402222124735516,15.807346630096436
2020-04-11,2020,Octane 95,8.5,Luxury & Turbo,Mercedes/BMW/Kia Turbo,31.479999542236328,15.725847244262695,52.402222124735516,15.807346630096436
2020-04-11,2020,Octane 92,7.5,Modern Economy,Nissan/Toyota/Hyundai,31.479999542236328,15.725847244262695,52.402222124735516,15.807346630096436
2021-04-23,2021,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,66.11000061035156,15.670700073242188,60.515222252739804,15.670191107855903
2021-04-23,2021,Octane 95,8.75,Luxury & Turbo,Mercedes/BMW/Kia Turbo,66.11000061035156,15.670700073242188,60.515222252739804,15.670191107855903
2021-04-23,2021,Octane 92,7.75,Modern Economy,Nissan/Toyota/Hyundai,66.11000061035156,15.670700073242188,60.515222252739804,15.670191107855903
2021-04-23,2021,Octane 80,6.5,Old & Private,Lada/Fiat 128,66.11000061035156,15.670700073242188,60.515222252739804,15.670191107855903
2021-07-23,2021,Octane 92,8.0,Modern Economy,Nissan/Toyota/Hyundai,74.0999984741211,15.642999649047852,69.31177787780761,15.654584810468887
2021-07-23,2021,Octane 80,6.75,Old & Private,Lada/Fiat 128,74.0999984741211,15.642999649047852,69.31177787780761,15.654584810468887
2021-07-23,2021,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,74.0999984741211,15.642999649047852,69.31177787780761,15.654584810468887
2021-07-23,2021,Octane 95,9.0,Luxury & Turbo,Mercedes/BMW/Kia Turbo,74.0999984741211,15.642999649047852,69.31177787780761,15.654584810468887
2021-10-08,2021,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,82.38999938964844,15.666999816894531,73.83955527411567,15.66416425704956
2021-10-08,2021,Octane 95,9.25,Luxury & Turbo,Mercedes/BMW/Kia Turbo,82.38999938964844,15.666999816894531,73.83955527411567,15.66416425704956
2021-10-08,2021,Octane 92,8.25,Modern Economy,Nissan/Toyota/Hyundai,82.38999938964844,15.666999816894531,73.83955527411567,15.66416425704956
2021-10-08,2021,Octane 80,7.0,Old & Private,Lada/Fiat 128,82.38999938964844,15.666999816894531,73.83955527411567,15.66416425704956
2022-02-04,2022,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,93.2699966430664,15.704700469970703,81.4466663784451,15.6906920115153
2022-02-04,2022,Octane 95,9.5,Luxury & Turbo,Mercedes/BMW/Kia Turbo,93.2699966430664,15.704700469970703,81.4466663784451,15.6906920115153
2022-02-04,2022,Octane 92,8.5,Modern Economy,Nissan/Toyota/Hyundai,93.2699966430664,15.704700469970703,81.4466663784451,15.6906920115153
2022-02-04,2022,Octane 80,7.25,Old & Private,Lada/Fiat 128,93.2699966430664,15.704700469970703,81.4466663784451,15.6906920115153
2022-04-15,2022,Diesel (Solar),6.75,Transport & Heavy,Microbus/Trucks/Buses,111.69999694824219,18.3789005279541,94.36966671413846,16.216670269436307
2022-04-15,2022,Octane 92,8.75,Modern Economy,Nissan/Toyota/Hyundai,111.69999694824219,18.3789005279541,94.36966671413846,16.216670269436307
2022-04-15,2022,Octane 80,7.5,Old & Private,Lada/Fiat 128,111.69999694824219,18.3789005279541,94.36966671413846,16.216670269436307
2022-04-15,2022,Octane 95,9.75,Luxury & Turbo,Mercedes/BMW/Kia Turbo,111.69999694824219,18.3789005279541,94.36966671413846,16.216670269436307
2022-07-13,2022,Diesel (Solar),7.25,Transport & Heavy,Microbus/Trucks/Buses,99.56999969482422,18.855600357055664,111.35477795071073,18.13983301586575
2022-07-13,2022,Octane 95,10.75,Luxury & Turbo,Mercedes/BMW/Kia Turbo,99.56999969482422,18.855600357055664,111.35477795071073,18.13983301586575
2022-07-13,2022,Octane 92,9.25,Modern Economy,Nissan/Toyota/Hyundai,99.56999969482422,18.855600357055664,111.35477795071073,18.13983301586575
2022-07-13,2022,Octane 80,8.0,Old & Private,Lada/Fiat 128,99.56999969482422,18.855600357055664,111.35477795071073,18.13983301586575
2023-03-02,2023,Octane 80,8.75,Old & Private,Lada/Fiat 128,84.75,30.600200653076172,85.76022211710612,26.49920147789849
2023-03-02,2023,Octane 92,10.25,Modern Economy,Nissan/Toyota/Hyundai,84.75,30.600200653076172,85.76022211710612,26.49920147789849
2023-03-02,2023,Diesel (Solar),7.25,Transport & Heavy,Microbus/Trucks/Buses,84.75,30.600200653076172,85.76022211710612,26.49920147789849
2023-03-02,2023,Natural Gas (CNG),4.5,Savings & Taxi,Converted Taxis/Uber,84.75,30.600200653076172,85.76022211710612,26.49920147789849
2023-03-02,2023,Octane 95,11.5,Luxury & Turbo,Mercedes/BMW/Kia Turbo,84.75,30.600200653076172,85.76022211710612,26.49920147789849
2023-05-04,2023,Diesel (Solar),8.25,Transport & Heavy,Microbus/Trucks/Buses,72.5,30.922399520874023,82.10188895331488,29.918351131015353
2023-11-03,2023,Natural Gas (CNG),5.5,Savings & Taxi,Converted Taxis/Uber,84.88999938964844,30.871000289916992,86.41044413248697,30.866003693474664
2023-11-03,2023,Diesel (Solar),8.25,Transport & Heavy,Microbus/Trucks/Buses,84.88999938964844,30.871000289916992,86.41044413248697,30.866003693474664
2023-11-03,2023,Octane 95,12.5,Luxury & Turbo,Mercedes/BMW/Kia Turbo,84.88999938964844,30.871000289916992,86.41044413248697,30.866003693474664
2023-11-03,2023,Octane 92,11.5,Modern Economy,Nissan/Toyota/Hyundai,84.88999938964844,30.871000289916992,86.41044413248697,30.866003693474664
2023-11-03,2023,Octane 80,10.0,Old & Private,Lada/Fiat 128,84.88999938964844,30.871000289916992,86.41044413248697,30.866003693474664
2024-03-22,2024,Octane 92,12.5,Modern Economy,Nissan/Toyota/Hyundai,85.43000030517578,46.62160110473633,80.51988872951931,33.16365981631809
2024-03-22,2024,Octane 80,11.0,Old & Private,Lada/Fiat 128,85.43000030517578,46.62160110473633,80.51988872951931,33.16365981631809
2024-03-22,2024,Diesel (Solar),10.0,Transport & Heavy,Microbus/Trucks/Buses,85.43000030517578,46.62160110473633,80.51988872951931,33.16365981631809
2024-03-22,2024,Natural Gas (CNG),6.5,Savings & Taxi,Converted Taxis/Uber,85.43000030517578,46.62160110473633,80.51988872951931,33.16365981631809
2024-03-22,2024,Octane 95,13.5,Luxury & Turbo,Mercedes/BMW/Kia Turbo,85.43000030517578,46.62160110473633,80.51988872951931,33.16365981631809
2024-07-25,2024,Natural Gas (CNG),6.5,Savings & Taxi,Converted Taxis/Uber,82.37000274658203,48.305599212646484,85.09166666666667,47.63442014058431
2024-07-25,2024,Diesel (Solar),11.5,Transport & Heavy,Microbus/Trucks/Buses,82.37000274658203,48.305599212646484,85.09166666666667,47.63442014058431
2024-07-25,2024,Octane 95,15.0,Luxury & Turbo,Mercedes/BMW/Kia Turbo,82.37000274658203,48.305599212646484,85.09166666666667,47.63442014058431
2024-07-25,2024,Octane 92,13.75,Modern Economy,Nissan/Toyota/Hyundai,82.37000274658203,48.305599212646484,85.09166666666667,47.63442014058431
2024-07-25,2024,Octane 80,12.25,Old & Private,Lada/Fiat 128,82.37000274658203,48.305599212646484,85.09166666666667,47.63442014058431
2024-10-18,2024,Octane 92,15.25,Modern Economy,Nissan/Toyota/Hyundai,73.05999755859375,48.604896545410156,79.07866702609591,48.398443179660376
2024-10-18,2024,Octane 80,13.75,Old & Private,Lada/Fiat 128,73.05999755859375,48.604896545410156,79.07866702609591,48.398443179660376
2024-10-18,2024,Diesel (Solar),13.5,Transport & Heavy,Microbus/Trucks/Buses,73.05999755859375,48.604896545410156,79.07866702609591,48.398443179660376
2024-10-18,2024,Natural Gas (CNG),7.0,Savings & Taxi,Converted Taxis/Uber,73.05999755859375,48.604896545410156,79.07866702609591,48.398443179660376
2024-10-18,2024,Octane 95,17.0,Luxury & Turbo,Mercedes/BMW/Kia Turbo,73.05999755859375,48.604896545410156,79.07866702609591,48.398443179660376
2025-04-11,2025,Natural Gas (CNG),8.5,Savings & Taxi,Converted Taxis/Uber,64.76000213623047,51.29029846191406,73.75377790662978,50.54797240363227
